"year","months","avg_monthly_close"
"2012","1","20804"
"2013","1","30107"
"2014","1","41465"
"2015","1","30125"
"2016","1","24884"
"2017","1","26306"
"2018","1","42624"
"2019","1","30571"
"2020","1","28948"
"2021","1","41010"
"2022","1","44948"
"2023","1","52255"
"2012","2","20517"
"2013","2","33352"
"2014","2","39700"
"2015","2","29386"
"2016","2","24146"
"2017","2","25377"
"2018","2","42921"
"2019","2","31960"
"2020","2","27604"
"2021","2","40875"
"2022","2","47186"
"2023","2","54432"
"2012","3","20919"
"2013","3","33177"
"2014","3","38375"
"2015","3","30362"
"2016","3","25678"
"2017","3","25298"
"2018","3","42299"
"2019","3","31377"
"2020","3","23364"
"2021","3","39058"
"2022","3","47208"
"2023","3","55081"
"2012","4","21271"
"2013","4","33626"
"2014","4","38860"
"2015","4","34684"
"2016","4","24955"
"2017","4","25520"
"2018","4","40804"
"2019","4","29681"
"2020","4","22095"
"2021","4","39011"
"2022","4","47673"
"2023","4","52205"
"2012","5","22413"
"2013","5","36395"
"2014","5","39207"
"2015","5","34413"
"2016","5","26731"
"2017","5","27706"
"2018","5","40433"
"2019","5","29658"
"2020","5","24269"
"2021","5","38821"
"2022","5","52562"
"2023","5","52752"
"2012","6","21368"
"2013","6","37689"
"2014","6","41564"
"2015","6","33504"
"2016","6","28503"
"2017","6","32952"
"2018","6","38262"
"2019","6","30020"
"2020","6","25001"
"2021","6","38414"
"2022","6","52317"
"2023","6","58114"
"2012","7","22686"
"2013","7","37321"
"2014","7","42736"
"2015","7","31475"
"2016","7","28445"
"2017","7","33909"
"2018","7","37089"
"2019","7","28518"
"2020","7","24340"
"2021","7","38289"
"2022","7","51473"
"2023","7","63815"
"2012","8","23352"
"2013","8","37137"
"2014","8","41778"
"2015","8","30139"
"2016","8","27529"
"2017","8","36956"
"2018","8","35635"
"2019","8","27430"
"2020","8","25125"
"2021","8","39268"
"2022","8","49788"
"2023","8","65270"
"2012","9","25185"
"2013","9","36179"
"2014","9","40935"
"2015","9","30189"
"2016","9","27965"
"2017","9","35377"
"2018","9","33108"
"2019","9","27455"
"2020","9","25761"
"2021","9","39100"
"2022","9","49476"
"2023","9","67570"
"2012","10","26898"
"2013","10","37203"
"2014","10","39257"
"2015","10","29974"
"2016","10","27663"
"2017","10","36468"
"2018","10","32637"
"2019","10","26563"
"2020","10","28592"
"2021","10","41260"
"2022","10","45989"
"2023","10","67162"
"2012","11","26465"
"2013","11","38392"
"2014","11","34612"
"2015","11","28455"
"2016","11","26003"
"2017","11","37029"
"2018","11","31825"
"2019","11","26645"
"2020","11","33469"
"2021","11","43032"
"2022","11","44922"
"2023","11","70882"
"2012","12","27230"
"2013","12","39407"
"2014","12","32315"
"2015","12","27245"
"2016","12","26223"
"2017","12","38431"
"2018","12","30932"
"2019","12","26623"
"2020","12","36414"
"2021","12","42213"
"2022","12","49120"
"2023","12","72233"
