"year","months","monthly_volatility"
"2012","1","0.010394469683442248608692"
"2013","1","0.008352863780364991282838"
"2014","1","0.006871861188242686736584"
"2015","1","0.01750966274585790559"
"2016","1","0.02081894064244586413"
"2017","1","0.005083699440368204930686"
"2018","1","0.01293685714257032097"
"2019","1","0.01048897586605168617"
"2020","1","0.01165727853562497922"
"2021","1","0.008587192115066055256410"
"2022","1","0.007079518270854904789466"
"2023","1","0.005837391785476014898645"
"2012","2","0.005673103671109659418208"
"2013","2","0.008713486219950264998238"
"2014","2","0.01118972625599976552"
"2015","2","0.01471784720384708539"
"2016","2","0.01057492992209134500"
"2017","2","0.004542014391967742902630"
"2018","2","0.01048888634899364614"
"2019","2","0.009426975571255747747600"
"2020","2","0.006295819414918375650391"
"2021","2","0.005915501491398412461819"
"2022","2","0.003475610510551007005485"
"2023","2","0.004962838215970246278324"
"2012","3","0.009224723273926404374599"
"2013","3","0.005128927250102316011890"
"2014","3","0.007978823161821488046094"
"2015","3","0.01204072095179358602"
"2016","3","0.009667190461999361506683"
"2017","3","0.008270751838157124070876"
"2018","3","0.008111881350686722637932"
"2019","3","0.005073915553851783176029"
"2020","3","0.01743261112788129454"
"2021","3","0.006840353410651287076670"
"2022","3","0.001696916524670440217409"
"2023","3","0.006496289606854552956353"
"2012","4","0.006445171364527762109842"
"2013","4","0.009897640411445836835767"
"2014","4","0.004613010776169142180535"
"2015","4","0.02274406805254828132"
"2016","4","0.007212452855338202519238"
"2017","4","0.007974503897942533051540"
"2018","4","0.005992756592666464074915"
"2019","4","0.008233517825903681385130"
"2020","4","0.01225240685270492191"
"2021","4","0.003486285159095038196500"
"2022","4","0.005147389050294111904939"
"2023","4","0.008795773132590448981560"
"2012","5","0.005219815723804451554616"
"2013","5","0.01180407314689056220"
"2014","5","0.007466881262580360880437"
"2015","5","0.004153966609939375532197"
"2016","5","0.01689967299590205236"
"2017","5","0.01176167100211125443"
"2018","5","0.01051329317261405633"
"2019","5","0.01535550777563604537"
"2020","5","0.01033492081417628086"
"2021","5","0.005342675641149848777894"
"2022","5","0.009944735449366902934638"
"2023","5","0.01186411957683052561"
"2012","6","0.008299836487201763801143"
"2013","6","0.01465993106898420652"
"2014","6","0.005605307858670760866490"
"2015","6","0.005450090352323055614996"
"2016","6","0.01796593698572083298"
"2017","6","0.01757179183865585832"
"2018","6","0.01278841763984090997"
"2019","6","0.004601765965365905046071"
"2020","6","0.005787910224070926439528"
"2021","6","0.007023850524496957891964"
"2022","6","0.006685125635461517779672"
"2023","6","0.01234899195639795087"
"2012","7","0.006816157275180789136425"
"2013","7","0.006979991166172196326600"
"2014","7","0.003668599057899220419931"
"2015","7","0.005598179976351157613701"
"2016","7","0.006554766763223649432921"
"2017","7","0.01311429064218187327"
"2018","7","0.005371217585890405443537"
"2019","7","0.005651244222719642328571"
"2020","7","0.006394711356529967204099"
"2021","7","0.005738008090104549787938"
"2022","7","0.007856163074021187544662"
"2023","7","0.01372899607885927433"
"2012","8","0.004837074086086103590227"
"2013","8","0.005087456194043914268837"
"2014","8","0.006102696515631820430579"
"2015","8","0.01520039943084203495"
"2016","8","0.005964006001751910236252"
"2017","8","0.01201331606367907895"
"2018","8","0.007954534495972661731669"
"2019","8","0.005475601384899725283690"
"2020","8","0.003103692117769538349059"
"2021","8","0.004695175750137083492027"
"2022","8","0.008939758863501263763547"
"2023","8","0.006766404455027193961390"
"2012","9","0.006477757490464053941821"
"2013","9","0.004277454739400412126703"
"2014","9","0.004699002841627966671473"
"2015","9","0.01222767676001326182"
"2016","9","0.009417077152984526647214"
"2017","9","0.008169877635852040203860"
"2018","9","0.01099466856445001074"
"2019","9","0.006565247610751340921278"
"2020","9","0.003942168520077831565277"
"2021","9","0.005580795766311591632334"
"2022","9","0.002420099815479336150391"
"2023","9","0.007348360003214465898014"
"2012","10","0.007497317063983271132069"
"2013","10","0.004832480263495757247002"
"2014","10","0.007318058054170554768871"
"2015","10","0.006951077340274397383983"
"2016","10","0.005428676294990287379900"
"2017","10","0.005990707089198355103551"
"2018","10","0.008760280293604241891101"
"2019","10","0.003512636434163763355615"
"2020","10","0.01462324303436502624"
"2021","10","0.004420307999112453686396"
"2022","10","0.01160186262521104884"
"2023","10","0.005621023462137901618047"
"2012","11","0.004411741515939391871547"
"2013","11","0.005632664090987919182309"
"2014","11","0.01816562036259413685"
"2015","11","0.004595789998932252592575"
"2016","11","0.004641493639278546233501"
"2017","11","0.005843242665548372421540"
"2018","11","0.006554761991247642693083"
"2019","11","0.005615418154744273267031"
"2020","11","0.01772941999427317222"
"2021","11","0.007237948634309339508357"
"2022","11","0.009439871229586176466775"
"2023","11","0.004871651364064039115731"
"2012","12","0.006289283561686358375226"
"2013","12","0.008574282231736583337774"
"2014","12","0.02335915543972304792"
"2015","12","0.01347020493729147315"
"2016","12","0.005893146976493095034743"
"2017","12","0.01041785169729959729"
"2018","12","0.01183656738608707115"
"2019","12","0.006404406377848893103999"
"2020","12","0.01020778647709212029"
"2021","12","0.008854127366859561308815"
"2022","12","0.004924642653346321202189"
"2023","12","0.005403513517456334940986"
